,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Tiksi,RU,9.08,71.64,128.87,70,0,4.21
1,Saint-Philippe,CA,23.13,45.36,-73.48,49,1,10.29
2,Hermanus,ZA,71.76,-34.42,19.24,76,0,2.64
3,Albany,US,23,42.65,-73.75,45,1,3.36
4,Faanui,PF,84.41,-16.48,-151.75,100,8,4.76
5,Carnarvon,ZA,53.36,-30.97,22.13,60,24,2.98
6,Hithadhoo,MV,82.25,-0.6,73.08,100,44,1.63
7,Bluff,AU,87.2,-23.58,149.07,44,92,11.81
8,Anadyr,RU,28.2,64.73,177.51,86,20,29.08
9,Vaini,IN,87.8,15.34,74.49,45,0,2.24
10,Atbasar,KZ,37.61,51.81,68.36,100,0,5.1
11,Cape Town,ZA,60.98,-33.93,18.42,82,0,5.82
12,Ushuaia,AR,50,-54.81,-68.31,76,75,9.17
13,Petropavlovsk-Kamchatskiy,RU,32,53.05,158.65,71,0,6.71
14,Georgetown,GY,71.6,6.8,-58.16,94,0,4.7
15,Port-Gentil,GA,78.8,-0.72,8.78,100,40,2.24
16,Pevek,RU,25.91,69.7,170.27,75,92,2.86
17,Sabang,PH,81.98,13.72,123.58,79,88,13.27
18,Mataura,NZ,53.01,-46.19,168.86,82,88,13
19,Geraldton,CA,28.4,49.72,-86.95,58,75,10.29
20,Hobart,AU,65.44,-42.88,147.33,37,0,14.99
21,Port Alfred,ZA,67.22,-33.59,26.89,89,12,14.5
22,Rikitea,PF,80.18,-23.12,-134.97,96,88,14.38
23,Butaritari,KI,83.69,3.07,172.79,100,88,17.52
24,Jamestown,AU,67.76,-33.21,138.6,73,8,4.43
25,Nanortalik,GL,23.48,60.14,-45.24,100,64,14.83
26,Kaitangata,NZ,53.01,-46.28,169.85,69,32,15.99
27,Hambantota,LK,95,6.12,81.12,44,20,4.7
28,New Norfolk,AU,65.44,-42.78,147.06,37,0,14.99
29,Punta Arenas,CL,51.39,-53.16,-70.91,57,40,12.75
30,Qaanaaq,GL,-10.91,77.48,-69.36,87,48,10.69
32,Alofi,NU,77,-19.06,-169.92,94,92,10.29
33,Kapaa,US,68.43,22.08,-159.32,88,90,3.36
34,Leh,IN,2.51,34.16,77.58,86,0,1.74
35,Sangar,RU,13.31,63.92,127.47,57,0,4.09
36,Kirillov,RU,28.4,59.86,38.38,86,75,6.71
37,Babylon,US,34.11,40.7,-73.33,31,1,10.29
38,East London,ZA,68,-33.02,27.91,68,0,5.82
39,Castro,CL,44.6,-42.48,-73.76,87,0,5.82
40,Matara,PE,44,-13.74,-72.9,99,88,1.63
41,Cabo San Lucas,MX,65.43,22.89,-109.91,48,75,4.7
42,Cairns,AU,84.27,-16.92,145.77,79,64,10.29
43,Portobelo,PA,77.9,9.55,-79.65,74,20,6.93
44,Novikovo,UA,42.74,45.05,34.56,100,76,4.32
45,Synya,RU,31.13,65.37,58.04,89,88,8.68
46,Mogadishu,SO,86,2.04,45.34,74,75,12.75
47,Bredasdorp,ZA,66.99,-34.53,20.04,88,20,1.12
48,Upernavik,GL,3.32,72.79,-56.15,100,44,6.44
49,Pangai,TO,77,-19.8,-174.35,94,90,13.87
50,Ancud,CL,44.6,-41.87,-73.83,87,0,5.82
51,Torbay,CA,23.5,47.66,-52.73,73,90,5.82
52,Imbituba,BR,71.6,-28.24,-48.67,68,75,5.82
53,Muros,ES,49.68,42.77,-9.06,70,0,4.7
54,Richards Bay,ZA,69.38,-28.77,32.06,94,68,1.97
56,Binga,ZW,81.44,-17.62,27.34,67,0,11.81
57,Lorengau,PG,82.16,-2.02,147.27,100,20,8.79
58,Hilo,US,66.52,19.71,-155.08,68,90,6.93
59,Hudson Bay,CA,33.65,52.86,-102.4,86,92,4.21
60,Mbala,ZM,67.67,-8.85,31.37,93,56,3.98
61,Chivay,PE,35.54,-15.64,-71.6,98,92,2.86
62,Chokurdakh,RU,0.26,70.62,147.9,74,8,17.96
64,Puerto Ayora,EC,76.58,-0.74,-90.35,100,0,5.55
65,Provideniya,RU,32.03,64.42,-173.23,91,88,31.83
66,Atuona,PF,82.61,-9.8,-139.03,99,20,14.16
67,Aripuana,BR,74.6,-9.17,-60.63,96,36,1.97
68,Busselton,AU,80.64,-33.64,115.35,21,0,16.51
69,Bud,NO,38.57,62.91,6.91,93,75,9.17
70,Esperance,TT,74.39,10.24,-61.45,94,20,4.65
71,Surt,LY,59.93,31.21,16.59,80,32,8.46
72,Manaure,CO,77.57,11.78,-72.45,95,20,18.07
73,Yellowknife,CA,21.63,62.45,-114.38,73,90,12.75
74,Arraial do Cabo,BR,75.68,-22.97,-42.02,99,8,2.98
75,Kruisfontein,ZA,61.28,-34,24.73,82,48,11.59
76,Grindavik,IS,41.45,63.84,-22.43,86,75,28.86
77,Avarua,CK,80.6,-21.21,-159.78,88,32,3.36
78,Yueyang,CN,66.23,29.36,113.12,98,92,2.42
80,Mount Gambier,AU,66.2,-37.83,140.78,59,20,3.36
81,Weston,US,32.13,41.2,-73.38,42,1,6.22
82,Fairbanks,US,38.8,64.84,-147.72,93,90,7.34
83,Coihaique,CL,35.38,-45.58,-72.07,93,0,1.86
84,Coahuayana,MX,57.86,18.62,-100.35,35,0,3.87
85,Jalu,LY,55.7,29.03,21.55,42,0,4.21
86,Cochabamba,BO,59,-17.39,-66.16,87,75,3.36
87,Tilichiki,RU,17.54,60.47,166.1,79,68,9.46
88,Mar del Plata,AR,55.07,-46.43,-67.52,60,0,8.68
89,Tura,IN,76.76,25.52,90.21,73,0,2.75
90,Norman Wells,CA,35.6,65.28,-126.83,59,20,5.82
91,Gizo,IL,61.83,31.8,34.94,72,40,11.41
92,Dakar,SN,65.21,14.69,-17.45,88,0,9.17
93,Taltal,CL,53.27,-25.41,-70.49,90,0,2.42
94,Rayong,TH,93.06,12.68,101.28,66,20,11.41
95,Bahile,PH,87.8,10,118.79,70,75,11.41
97,Manta,RO,34.19,45.1,24.1,79,8,2.75
98,Victoria,BN,89.83,5.28,115.24,70,75,6.93
99,Henties Bay,NA,61,-22.12,14.28,93,48,1.01
100,Nouadhibou,MR,62.6,20.93,-17.03,93,24,2.24
101,Clyde River,CA,-11.21,70.47,-68.59,69,40,3.36
102,Broken Hill,AU,73.4,-31.97,141.45,23,0,9.17
103,Tiznit,MA,58.31,29.7,-9.73,98,92,3.2
104,Souillac,FR,38.43,45.6,-0.6,78,0,9.17
106,Caravelas,BR,81.8,-17.73,-39.27,100,56,12.48
107,Severo-Kurilsk,RU,29.96,50.68,156.12,95,88,14.05
108,Kloulklubed,PW,84.2,7.04,134.26,74,75,13.87
110,Kodiak,US,47.75,39.95,-94.76,49,1,12.75
111,Verkhoyansk,RU,8.27,67.55,133.39,63,0,3.76
112,Sitka,US,52,37.17,-99.65,78,8,15.01
113,Lompoc,US,52.74,34.64,-120.46,87,75,3.36
114,Port Elizabeth,US,32.9,39.31,-74.98,50,1,4.7
115,Agadir,MA,59,30.42,-9.58,82,40,2.24
116,Barrow,AR,45.08,-38.31,-60.23,91,0,6.11
117,Aykhal,RU,25.01,65.95,111.51,87,80,8.01
118,Zavodouspenskoye,RU,37.4,56.86,65.02,59,0,8.95
119,Gamba,CN,17.36,28.28,88.52,86,12,9.8
120,Mahebourg,MU,86.58,-20.41,57.7,74,40,8.05
121,Dunedin,NZ,57.99,-45.87,170.5,55,0,7
122,Griffith,AU,78.8,-34.29,146.06,19,0,6.93
123,Selenduma,RU,34.1,50.92,106.24,36,0,4.09
125,Shache,CN,62.9,38.42,77.24,32,0,4.99
126,Luau,CD,68.03,-10.7,22.23,93,24,3.2
127,College,US,39.07,64.86,-147.8,93,90,3.36
128,Khushab,PK,80.54,32.29,72.35,51,8,3.98
129,Burnie,AU,65.01,-41.05,145.91,66,48,4
130,Bandar-e Lengeh,IR,71.6,26.56,54.88,88,40,11.41
131,Krasnyy Yar,RU,33.74,50.7,44.73,94,92,11.25
132,Beyneu,KZ,42.2,45.32,55.19,76,92,11.25
134,Bambous Virieux,MU,86.54,-20.34,57.76,74,40,8.05
135,Chicama,PE,68,-7.84,-79.15,88,75,6.93
136,Izhma,RU,31.67,65.01,53.91,76,80,4.54
137,Ngunguru,NZ,66.99,-35.62,174.5,83,88,16.28
138,Anito,PH,78.38,12.45,125.29,100,92,15.5
139,Khatanga,RU,30.95,71.98,102.47,94,92,12.71
140,San Quintin,PH,88.28,17.54,120.52,39,0,8.12
141,Mitsamiouli,KM,87.8,-11.38,43.28,62,20,4.7
142,Broome,GB,42.49,52.47,1.45,86,75,4.7
143,Bathsheba,BB,77.84,13.22,-59.52,100,56,17.18
144,Chuy,UY,64.34,-33.69,-53.46,89,48,11.7
145,Oranjemund,ZA,60.02,-28.55,16.43,94,0,3.2
147,Lasa,CY,58.66,34.92,32.53,77,40,4.7
148,Tabuk,PH,85.94,17.41,121.44,40,20,2.98
149,Ponta do Sol,BR,68.03,-20.63,-46,81,88,3.42
150,San Andres,PH,82.88,13.32,122.68,94,80,13.71
152,Bosanski Brod,BA,35.6,45.14,17.99,93,0,4.7
153,Preobrazheniye,RU,33.47,42.9,133.91,38,64,5.44
154,Berlevag,NO,22.55,70.86,29.09,79,0,16.11
155,Wanning,AT,36.91,48.64,13.53,93,75,9.17
157,Kavieng,PG,85.58,-2.57,150.8,98,44,8.46
158,Yumen,CN,48.05,40.29,97.04,52,12,21.32
160,Buala,SB,84.23,-8.15,159.59,86,32,8.23
161,Miles City,US,44.11,46.41,-105.84,70,20,8.05
163,Show Low,US,48.24,34.25,-110.03,37,1,11.41
164,Zyryanskoye,RU,31.31,56.83,86.62,92,0,6.22
165,Beniganj,IN,85.94,27.28,80.45,46,0,6.22
166,Goulburn,AU,67.42,-34.75,149.72,49,0,6.11
167,Wuan,CN,68.66,31.68,112,65,48,4.43
168,Ixtapa,MX,70.86,20.71,-105.21,100,75,3.36
169,Damaturu,NG,69.11,11.75,11.96,30,0,8.9
170,Maua,KE,70.28,0.23,37.94,75,32,2.42
171,Yerbogachen,RU,28.88,61.28,108.01,67,64,4.76
172,Freeport,BS,68.03,26.54,-78.7,100,76,6.11
173,Shubarshi,KZ,39.14,48.59,57.19,75,44,12.37
174,Ola,RU,21.5,59.58,151.3,100,76,11.48
175,Gboko,NG,74.06,7.32,9,85,8,2.64
177,Udachnyy,RU,25.82,66.42,112.4,78,88,4.54
178,Thompson,CA,35.6,55.74,-97.86,74,90,3.36
179,Natal,BR,76.08,-5.81,-35.21,88,40,4.7
180,Pisco,PE,68,-13.71,-76.2,82,20,1.74
181,Itoman,JP,73.26,26.12,127.67,53,40,12.75
182,Nicolas Bravo,MX,53.36,24.39,-104.74,50,64,0.96
184,Dingle,PH,82.79,11,122.67,73,92,12.71
185,Abalak,NE,70.28,15.46,6.28,26,0,11.7
186,Manavalakurichi,IN,91.4,8.13,77.3,59,20,9.17
187,Ribeira Grande,PT,59.12,38.52,-28.7,100,0,10.47
188,Vallenar,CL,53.9,-28.58,-70.76,72,0,1.74
189,Termez,AF,75.45,37.23,67.28,33,75,11.41
190,Ahuimanu,US,71.53,21.44,-157.84,69,20,8.9
191,Margate,AU,65.44,-43.03,147.26,37,0,14.99
192,Road Town,VG,77.22,18.42,-64.62,78,20,10.29
194,Ligayan,PH,83.24,4.65,119.47,100,12,5.77
195,Fortuna,ES,46.13,38.18,-1.13,93,0,2.24
196,Komsomolskiy,RU,27.44,67.55,63.78,95,88,19.86
197,Ergani,TR,45.36,38.27,39.76,100,75,6.93
198,Annau,TM,51.8,37.89,58.52,87,90,2.24
199,Longyearbyen,NO,21.2,78.22,15.63,67,40,14.99
200,Port Hardy,CA,37.4,50.7,-127.42,93,40,3.36
201,Honiara,SB,81.62,-9.43,159.96,84,32,2.86
202,Ararangua,BR,68.39,-28.93,-49.49,100,80,9.35
203,Boyany,UA,34.29,48.27,26.13,59,75,23.04
204,Haapiti,PF,82.17,-17.57,-149.87,78,75,2.24
205,Hanting,CN,64.88,30.92,118.55,96,68,5.1
206,Bulgan,MN,31.4,48.81,103.53,26,0,4.09
207,Kholmogory,RU,24.8,64.23,41.65,92,0,4.21
208,Brisbane,AU,68.7,-27.47,153.02,94,75,8.05
209,Lodja,CD,71.99,-3.52,23.6,94,0,3.2
210,Agadez,NE,71.6,16.97,7.99,28,0,13.87
211,Port Lincoln,AU,67.58,-34.72,135.86,81,68,4.65
212,Rockland,US,29.17,42.13,-70.92,85,1,6.93
214,Cherskiy,RU,9.62,68.75,161.3,74,88,13.15
215,Comodoro Rivadavia,AR,68,-45.87,-67.48,37,0,12.75
216,Tiarei,PF,82.17,-17.53,-149.33,78,75,2.24
218,Caraguatay,PY,68,-25.24,-56.83,64,75,6.93
219,Linhai,CN,73.09,28.86,121.14,68,48,4
220,Lashio,MM,87.47,22.93,97.75,36,0,3.76
221,Mana,RS,37.24,43.52,20.24,56,0,1.12
222,Arroyo,US,22.48,41.39,-78.88,53,1,3.36
223,Iqaluit,CA,-11.12,63.75,-68.52,69,20,2.24
224,Airai,TL,77.03,-8.93,125.41,87,80,2.3
225,Marawi,PH,80.01,8,124.29,84,80,5.01
226,Wuxue,CN,61.28,29.85,115.56,100,92,3.53
227,Chenghai,CN,75.2,23.46,116.77,69,75,2.24
228,Bethel,US,32,60.79,-161.76,88,1,9.17
229,Terra Santa,BR,79.28,-2.1,-56.49,85,8,4.65
230,Laiyang,CN,68.84,36.98,120.7,22,12,13.04
232,Talnakh,RU,27.44,69.49,88.39,91,88,22.55
233,Zyryanka,RU,11.51,65.73,150.89,63,76,12.15
234,Hukuntsi,BW,75.86,-23.98,21.76,20,36,5.32
235,Piopio,CL,41.14,-42.79,-73.57,100,0,1.12
236,Amga,RU,14.93,60.89,131.98,52,20,5.44
237,Saint-Augustin,FR,39.34,44.83,-0.61,74,0,3.36
239,Fengcheng,CN,58.31,40.45,124.07,43,0,8.12
240,Waipawa,NZ,63,-39.94,176.59,71,88,8.01
243,Boyolangu,ID,81.62,-8.09,111.9,95,32,4.43
244,Egvekinot,RU,26.27,66.32,-179.17,87,76,13.71
245,Hirara,JP,76.12,24.8,125.28,60,20,11.41
246,Charters Towers,AU,80.9,-20.07,146.27,78,80,11.36
247,Piacabucu,BR,78.2,-10.41,-36.43,90,76,5.44
248,Saint-Francois,FR,29.32,46.42,3.91,92,0,2.24
249,Kununurra,AU,100.4,-15.77,128.74,35,40,10.29
250,Shakiso,ET,65.51,5.77,38.9,85,88,3.2
251,Estevan,CA,39.83,49.14,-102.99,100,1,10.29
252,Rome,IT,49.86,41.89,12.48,53,20,3.36
253,San Juan de Uraba,CO,80.54,8.76,-76.53,99,48,18.86
254,Darhan,MN,32.03,49.49,105.92,31,0,5.44
255,Marin,RO,40.05,47.13,22.81,55,0,16.11
258,Saint Anthony,US,35.15,43.97,-111.68,48,1,5.82
259,Santiago,CL,61.68,-33.44,-70.65,76,0,3.36
260,San Carlos de Bariloche,AR,44.6,-41.13,-71.31,45,0,8.05
261,Grand Gaube,MU,86.45,-20.01,57.66,74,40,8.05
262,Tasiilaq,GL,23,65.61,-37.64,67,48,8.05
263,Marsh Harbour,BS,74.42,26.54,-77.06,100,48,6.22
264,Tuktoyaktuk,CA,19.16,69.44,-133.03,96,64,18.52
265,Inirida,CO,74.51,3.87,-67.92,91,48,1.97
267,Kikwit,CD,73.34,-5.04,18.82,86,12,3.65
268,Saldanha,PT,39.95,41.42,-6.55,49,0,11.7
269,Narsaq,GL,15.8,60.91,-46.05,43,32,3.36
272,Kamyshlov,RU,30.86,56.85,62.71,96,56,10.8
273,Portland,US,44.04,45.52,-122.67,61,1,3.76
274,Madison Heights,US,29.01,42.49,-83.11,63,1,3.36
276,Bilma,NE,59.57,18.69,12.92,19,0,7.67
277,Kushima,JP,70.02,31.5,131.29,15,40,17.22
278,Kayseri,TR,44.83,38.73,35.48,56,75,4.21
280,Napier,NZ,72,-39.49,176.92,61,24,5.01
281,Itapaci,BR,70.46,-14.95,-49.55,94,76,7.78
282,Maragogi,BR,76.31,-9.01,-35.22,100,92,2.75
283,Sinnamary,GF,80.18,5.38,-52.96,92,92,12.03
284,Biak,ID,81.08,-0.91,122.88,100,24,2.42
285,Dondo,MZ,80.6,-19.62,34.74,83,40,14.99
286,Okha,RU,19.52,53.59,142.95,92,24,16.84
287,Mehamn,NO,24.84,71.03,27.85,62,0,17.22
288,Chapais,CA,8.6,49.78,-74.86,55,90,5.82
289,Santa Rosa,AR,48.14,-36.62,-64.29,87,0,9.57
290,Saskylakh,RU,23.93,71.97,114.09,88,88,8.01
291,Kalga,RU,26.54,50.92,118.9,30,0,10.58
293,Kiama,AU,69.46,-34.67,150.86,56,40,10.29
294,West Bay,GB,35.64,50.71,-2.76,87,0,2.24
295,Katsuura,JP,66.36,33.93,134.5,59,75,11.41
296,Kerema,PG,79.19,-7.96,145.78,91,64,1.74
297,Sorland,NO,38.39,67.67,12.69,96,75,38.03
298,Winneba,GH,78.8,5.35,-0.62,88,0,6.93
299,Okhotsk,RU,29.96,59.36,143.24,74,68,3.87
300,Samarai,PG,83.87,-10.62,150.67,98,12,12.93
301,Muli,IN,100.16,22.62,71.45,14,0,5.66
